date,duration
6/4/15,14944648
6/5/15,9927038
6/6/15,21865707
6/7/15,10598557
6/8/15,12375947
6/9/15,17724024
6/10/15,15133546
6/11/15,12024303
6/12/15,6241824
6/13/15,23443127
6/14/15,17594002
6/15/15,6186284
6/16/15,16803228
6/17/15,10123378
6/18/15,16122244
6/19/15,16263719
6/20/15,20668373
6/21/15,25207391
6/22/15,11342102
6/23/15,19822153
6/24/15,15768025
6/25/15,12577269
6/26/15,8590950
6/27/15,31160126
6/28/15,27422104
6/29/15,14502681
6/30/15,16585875
7/1/15,15522402
7/2/15,16975795
7/3/15,31078902
7/4/15,43607893
7/5/15,31487918
7/6/15,15681387
7/7/15,11712203
7/8/15,12653786
7/9/15,15579188
7/10/15,21212426
7/11/15,25542123
7/12/15,29663704
7/13/15,12935154
7/14/15,15395071
7/15/15,16884634
7/16/15,9317701
7/17/15,17555935
7/18/15,24749606
7/19/15,27693318
7/20/15,18023928
7/21/15,18705511
7/22/15,18111858
7/23/15,18933302
7/24/15,20318942
7/25/15,26242209
7/26/15,21636410
7/27/15,17893203
7/28/15,16486109
7/29/15,19040507
7/30/15,20368290
7/31/15,22094729
8/1/15,29253267
8/2/15,19532390
8/3/15,18301234
8/4/15,18901216
8/5/15,18359539
8/6/15,18289866
8/7/15,20079524
8/8/15,25669104
8/9/15,16766840
8/10/15,15503151
8/11/15,18156514
8/12/15,17561208
8/13/15,17057942
8/14/15,16755697
8/15/15,24800779
8/16/15,22484217
8/17/15,13600402
8/18/15,11752551
8/19/15,14556765
8/20/15,14601178
8/21/15,17645172
8/22/15,26253196
8/23/15,17481353
8/24/15,13877020
8/25/15,12385416
8/26/15,11952097
8/27/15,12873379
8/28/15,14521939
8/29/15,8364396
8/30/15,17869431
8/31/15,14393415
9/1/15,13743958
9/2/15,12907171
9/3/15,12699366
9/4/15,15401434
9/5/15,25491148
9/6/15,27180617
9/7/15,19327282
9/8/15,7933287
9/9/15,12588482
9/10/15,10481958
9/11/15,8064563
9/12/15,15020325
9/13/15,17051080
9/14/15,13501573
9/15/15,13919767
9/16/15,14273637
9/17/15,11149740
9/18/15,9438250
9/19/15,24543095
9/20/15,18918197
9/21/15,14450591
9/22/15,13745799
9/23/15,13449086
9/24/15,13063918
9/25/15,14114751
9/26/15,22108555
9/27/15,16198763
9/28/15,12996590
9/29/15,7303629
9/30/15,9355878
10/1/15,8228309
10/2/15,8311305
10/3/15,5303318
10/4/15,6141937
10/5/15,8559835
10/6/15,9969928
10/7/15,10431517
10/8/15,10762877
10/9/15,9924666
10/10/15,15268147
10/11/15,20917817
10/12/15,13711739
10/13/15,9037949
10/14/15,9194527
10/15/15,9383488
10/16/15,9661074
10/17/15,8415900
10/18/15,9004985
10/19/15,9288891
10/20/15,9688535
10/21/15,10744360
10/22/15,8848893
10/23/15,7366532
10/24/15,6427871
10/25/15,10634425
10/26/15,8547430
10/27/15,5029000
10/28/15,4132104
10/29/15,4879446
10/30/15,7775281
10/31/15,1411368
11/1/15,10213204
11/2/15,10480953
11/3/15,10570939
11/4/15,10002343
11/5/15,8231383
11/6/15,6352306
11/7/15,7332619
11/8/15,6589225
11/9/15,6336643
11/10/15,6610496
11/11/15,5629394
11/12/15,3685791
11/13/15,4319156
11/14/15,5863455
11/15/15,8132400
11/16/15,5496414
11/17/15,3855179
11/18/15,4454874
11/19/15,4173901
11/20/15,3820651
11/21/15,605569
11/22/15,875261
11/23/15,2811471
11/24/15,3592317
11/25/15,3698766
11/26/15,1138637
11/27/15,637701
11/28/15,2092928
11/29/15,2036478
11/30/15,3031494
12/1/15,4329110
12/2/15,2850777
12/3/15,3029386
12/4/15,1068063
12/5/15,2370575
12/6/15,3408338
12/7/15,3760288
12/8/15,4469907
12/9/15,5057288
12/10/15,4778813
12/11/15,4841309
12/12/15,4150855
12/13/15,2100003
12/14/15,3374810
12/15/15,3883651
12/16/15,3603216
12/17/15,3205449
12/18/15,2797019
12/19/15,1330486
12/20/15,2031093
12/21/15,2585034
12/22/15,3191603
12/23/15,2350055
12/24/15,1435358
12/25/15,1555976
12/26/15,722109
12/27/15,887892
12/28/15,406210
12/29/15,1289455
12/30/15,1362899
12/31/15,1219311
1/1/16,818563
1/2/16,989462
1/3/16,1132608
1/4/16,2622348
1/5/16,2605108
1/6/16,3008964
1/7/16,3132157
1/8/16,2046958
1/9/16,1182480
1/10/16,573260
1/11/16,1329946
1/12/16,1283540
1/13/16,1568691
1/14/16,3208490
1/15/16,2566333
1/16/16,1501412
1/17/16,434389
1/18/16,734626
1/19/16,1807579
1/20/16,1778665
1/21/16,2224234
1/22/16,2142826
1/23/16,1545162
1/24/16,1289569
1/25/16,2645755
1/26/16,2710106
1/27/16,2783637
1/28/16,3002865
1/29/16,2749950
1/30/16,3614721
1/31/16,1605306
2/1/16,3804267
2/2/16,1761685
2/3/16,2900005
2/4/16,2908835
2/5/16,2683320
2/6/16,2890314
2/7/16,2489405
2/8/16,2440636
2/9/16,1698398
2/10/16,1741012
2/11/16,2002196
2/12/16,1806215
2/13/16,772525
2/14/16,418284
2/15/16,1425768
2/16/16,2197697
2/17/16,2708019
2/18/16,2983589
2/19/16,4654061
2/20/16,10021310
2/21/16,2138672
2/22/16,3389901
2/23/16,3375318
2/24/16,1734488
2/25/16,2503660
2/26/16,2653907
2/27/16,6712203
2/28/16,6241776
2/29/16,3314110
3/1/16,1599426
3/2/16,2340133
3/3/16,2038511
3/4/16,2955965
3/5/16,2140673
3/6/16,4112813
3/7/16,6059089
3/8/16,9183164
3/9/16,6484809
3/10/16,4825336
3/11/16,6267246
3/12/16,5346557
3/13/16,629601
3/14/16,5603223
3/15/16,5592921
3/16/16,4756232
3/17/16,6452530
3/18/16,5318494
3/19/16,4644875
3/20/16,3916474
3/21/16,5705521
3/22/16,7768362
3/23/16,3223211
3/24/16,1330338
3/25/16,4677981
3/26/16,8413886
3/27/16,6404155
3/28/16,5151122
3/29/16,7452295
3/30/16,5118265
3/31/16,5686077
4/1/16,4090706
4/2/16,2058637
4/3/16,7054756
4/4/16,2817767
4/5/16,4527184
4/6/16,2339890
4/7/16,3511363
4/8/16,2878303
4/9/16,2380856
4/10/16,1379872
4/11/16,6500536
4/12/16,5359211
4/13/16,6215801
4/14/16,7378539
4/15/16,9407294
4/16/16,19937198
4/17/16,22588912
4/18/16,13255022
4/19/16,6413924
4/20/16,7261460
4/21/16,7534284
4/22/16,6517538
4/23/16,12914647
4/24/16,21707557
4/25/16,12253707
4/26/16,4942745
4/27/16,3229554
4/28/16,4886514
4/29/16,5619882
4/30/16,1342199
5/1/16,3407824
5/2/16,7538971
5/3/16,10296875
5/4/16,5511046
5/5/16,8291875
5/6/16,15698608
5/7/16,8201280
5/8/16,16497965
5/9/16,4908949
5/10/16,4393319
5/11/16,8286428
5/12/16,9709604
5/13/16,10918592
5/14/16,5258504
5/15/16,8610498
5/16/16,12196451
5/17/16,6574345
5/18/16,9645357
5/19/16,13205170
5/20/16,11745190
5/21/16,21330219
5/22/16,22847684
5/23/16,17445967
5/24/16,16778507
5/25/16,10850126
5/26/16,14208091
5/27/16,11617787
5/28/16,21449268
5/29/16,32401801
5/30/16,28473238
5/31/16,9661238
6/1/16,10669867
6/2/16,16425246
6/3/16,17788011
6/4/16,13726508
6/5/16,22406270
6/6/16,17032257
6/7/16,13547157
6/8/16,15636519
6/9/16,10022572
6/10/16,20049516
6/11/16,25884022
6/12/16,19087018
6/13/16,16290477
6/14/16,14401338
6/15/16,15335498
6/16/16,13146935
6/17/16,20304686
6/18/16,28430043
6/19/16,21079623
6/20/16,15450509
6/21/16,19495530
6/22/16,10654622
6/23/16,16251056
6/24/16,20662428
6/25/16,26700188
6/26/16,17757070
6/27/16,16266266
6/28/16,15136738
6/29/16,17394065
6/30/16,16128615
7/1/16,17552112
7/2/16,25756790
7/3/16,28601963
7/4/16,26960448
7/5/16,17440125
7/6/16,13499193
7/7/16,13078790
7/8/16,18730799
7/9/16,28947659
7/10/16,24670279
7/11/16,17432880
7/12/16,15960406
7/13/16,11664837
7/14/16,16789153
7/15/16,15678486
7/16/16,35152131
7/17/16,23857409
7/18/16,18469293
7/19/16,18277046
7/20/16,16363074
7/21/16,13660031
7/22/16,16392628
